,gp0_Var_0_Bajo,gp0_Var_1_Bajo,gp0_Var_2_Bajo,gp0_Var_6_Bajo,gp0_Var_7_Bajo,gp3_Var_8_Bajo,gp_Var_9_Bajo,gp_Var_9_Medio,gp_Var_14_Medio,gp_Var_14_Bajo,gp_Var_15_Medio,gp_Var_15_Bajo,gpT_Var_13T_Alto,gpT_Var_13T_Medio,gpT_Var_10T_Medio,gpT_Var_10T_Bajo
6261,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
4597,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
6589,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
8797,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0
1200,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0
7367,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
1918,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
5375,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
5619,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0
6775,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1
1160,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
4825,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
2838,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1
5443,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1
6757,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
6171,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
4017,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
5283,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
813,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
5026,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
5634,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
5660,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
7526,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
109,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
5839,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
7558,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0
7265,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
3510,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1
1716,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0
1466,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0
3896,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
8654,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
8809,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0
3075,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6501,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1
6263,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1
552,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0
7575,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
2287,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
6145,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
7197,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0
3514,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1
2597,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
7267,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
8537,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0
1468,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
7656,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
39,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
8755,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0
10,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0
8194,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
5320,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
3864,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0
5163,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
5449,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
6485,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
8120,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1
3145,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1
7241,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
8183,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
5929,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1
1827,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
2341,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
485,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0
2830,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
744,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0
5475,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
2349,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
4867,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
2999,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1
3678,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1
1821,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
2506,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1
3196,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
3306,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1
6206,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7402,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
3023,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
3156,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
4499,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0
995,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
4786,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0
6014,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0
6340,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
4321,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
5692,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
7372,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
6143,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
581,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0
1758,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
